subject,sessionIndex,rep,H.period,DD.period.t,UD.period.t,H.t,DD.t.i,UD.t.i,H.i,DD.i.e,UD.i.e,H.e,DD.e.five,UD.e.five,H.five,DD.five.Shift.r,UD.five.Shift.r,H.Shift.r,DD.Shift.r.o,UD.Shift.r.o,H.o,DD.o.a,UD.o.a,H.a,DD.a.n,UD.a.n,H.n,DD.n.l,UD.n.l,H.l,DD.l.Return,UD.l.Return,H.Return
s016,7,19,0.0879,0.7945,0.7066,0.0673,0.1705,0.1032,0.08,0.7036,0.6236,0.0824,0.2632,0.1808,0.0628,0.5838,0.521,0.1093,0.1832,0.0739,0.1051,0.1712,0.0661,0.1111,0.1098,-0.0013,0.0858,0.2122,0.1264,0.1217,0.7412,0.6195,0.1172
s016,7,20,0.0964,0.3035,0.2071,0.0665,0.1439,0.0774,0.0779,0.165,0.0871,0.0985,0.5379,0.4394,0.1032,1.1337,1.0305,0.1059,0.221,0.1151,0.0903,0.154,0.0637,0.0971,0.1056,0.0085,0.0871,0.1924,0.1053,0.1109,0.7016,0.5907,0.1051
s016,7,21,0.1093,0.4048,0.2955,0.0715,0.1681,0.0966,0.076,0.1164,0.0404,0.1008,0.332,0.2312,0.0665,0.8659,0.7994,0.0829,0.3291,0.2462,0.0942,0.4344,0.3402,0.1264,0.2531,0.1267,0.1111,0.1908,0.0797,0.0966,0.6353,0.5387,0.1288
s016,7,22,0.1029,0.3329,0.23,0.0755,0.1766,0.1011,0.0789,0.2045,0.1256,0.1022,0.3407,0.2385,0.0816,0.6226,0.541,0.1172,0.1811,0.0639,0.0911,0.1709,0.0798,0.1077,0.1674,0.0597,0.0974,0.2483,0.1509,0.0863,0.2899,0.2036,0.0784
s016,7,23,0.0966,0.3433,0.2467,0.0721,0.1629,0.0908,0.0752,0.1354,0.0602,0.1059,0.8149,0.709,0.0803,0.735,0.6547,0.1059,0.1545,0.0486,0.1037,0.1608,0.0571,0.1222,0.155,0.0328,0.1037,0.2066,0.1029,0.0982,0.2646,0.1664,0.0977
s016,7,24,0.0895,0.2718,0.1823,0.0758,0.1344,0.0586,0.0863,0.1138,0.0275,0.1037,0.2937,0.19,0.0718,0.7902,0.7184,0.1038,0.1943,0.0905,0.0903,0.1361,0.0458,0.1051,0.1242,0.0191,0.0964,0.1645,0.0681,0.0982,0.2424,0.1442,0.0655
s016,7,25,0.1124,0.2873,0.1749,0.0787,0.15,0.0713,0.0795,0.1397,0.0602,0.119,0.3064,0.1874,0.0779,0.8594,0.7815,0.1362,0.1774,0.0412,0.0971,0.145,0.0479,0.1093,0.1621,0.0528,0.09,0.2444,0.1544,0.0779,0.2361,0.1582,0.0847
s016,7,26,0.0979,0.2261,0.1282,0.0718,0.2104,0.1386,0.0887,0.1624,0.0737,0.1138,0.7355,0.6217,0.0792,0.8298,0.7506,0.1222,0.1943,0.0721,0.0847,0.1291,0.0444,0.1146,0.1424,0.0278,0.0911,0.184,0.0929,0.0905,0.2442,0.1537,0.0755
s016,7,27,0.1101,0.3013,0.1912,0.0715,0.1425,0.071,0.0855,0.137,0.0515,0.0898,0.2848,0.195,0.0742,0.9412,0.867,0.1096,0.1706,0.061,0.0853,0.1218,0.0365,0.1177,0.1521,0.0344,0.1008,0.1757,0.0749,0.109,0.2548,0.1458,0.0731
s016,7,28,0.1085,0.2327,0.1242,0.0795,0.1526,0.0731,0.0826,0.1125,0.0299,0.1159,0.3194,0.2035,0.0665,0.6168,0.5503,0.1157,0.1722,0.0565,0.1143,0.1954,0.0811,0.0998,0.1764,0.0766,0.0993,0.1977,0.0984,0.1011,0.6562,0.5551,0.1101
s016,7,29,0.1251,0.29,0.1649,0.0686,0.1444,0.0758,0.0789,0.1409,0.062,0.1003,0.2797,0.1794,0.0784,1.2971,1.2187,0.1133,0.2097,0.0964,0.0924,0.1268,0.0344,0.109,0.1172,0.0082,0.1014,0.1922,0.0908,0.0934,0.2353,0.1419,0.0787
s016,7,30,0.095,0.333,0.238,0.0776,0.1579,0.0803,0.0787,0.1154,0.0367,0.1101,0.2658,0.1557,0.0816,0.7887,0.7071,0.1022,0.1877,0.0855,0.095,0.15,0.055,0.1109,0.1381,0.0272,0.0969,0.179,0.0821,0.1022,0.2467,0.1445,0.0615
s016,7,31,0.094,0.2829,0.1889,0.0808,0.1801,0.0993,0.0755,0.131,0.0555,0.0985,0.4941,0.3956,0.0602,0.6097,0.5495,0.0927,0.1725,0.0798,0.1,0.1711,0.0711,0.1032,0.1402,0.037,0.0948,0.1618,0.067,0.1006,0.2311,0.1305,0.0797
s016,7,32,0.0995,0.3137,0.2142,0.0718,0.1589,0.0871,0.0713,0.1035,0.0322,0.108,0.2925,0.1845,0.0826,0.8226,0.74,0.1072,0.1822,0.075,0.0927,0.1506,0.0579,0.1156,0.1523,0.0367,0.0908,0.1547,0.0639,0.1074,0.2274,0.12,0.0948
s016,7,33,0.0861,0.2591,0.173,0.0771,0.1574,0.0803,0.0913,0.1143,0.023,0.119,0.2937,0.1747,0.0726,1.1111,1.0385,0.1231,0.354,0.2309,0.1117,0.2253,0.1136,0.1167,0.1421,0.0254,0.0948,0.1882,0.0934,0.0882,0.2232,0.135,0.0768
s016,7,34,0.0977,0.2805,0.1828,0.0866,0.2492,0.1626,0.0837,0.5769,0.4932,0.0945,0.3225,0.228,0.0737,0.6775,0.6038,0.1096,0.1751,0.0655,0.1077,0.168,0.0603,0.1053,0.0842,-0.0211,0.104,0.2235,0.1195,0.1016,0.2485,0.1469,0.0789
s016,7,35,0.1127,0.3588,0.2461,0.0652,0.1616,0.0964,0.0829,0.1349,0.052,0.114,0.2549,0.1409,0.0771,0.6974,0.6203,0.1165,0.1957,0.0792,0.0924,0.1664,0.074,0.1286,0.1273,-0.0013,0.1038,0.1698,0.066,0.1124,0.2398,0.1274,0.0853
s016,7,36,0.1061,0.3417,0.2356,0.0689,0.5286,0.4597,0.0781,0.2069,0.1288,0.1051,0.269,0.1639,0.0758,0.6359,0.5601,0.1321,0.1725,0.0404,0.0842,0.1643,0.0801,0.1085,0.1727,0.0642,0.1029,0.1966,0.0937,0.1032,0.2591,0.1559,0.0861
s016,7,37,0.0876,0.2554,0.1678,0.0818,0.2146,0.1328,0.0892,0.1673,0.0781,0.1307,0.3513,0.2206,0.0715,0.5941,0.5226,0.1198,0.1644,0.0446,0.0974,0.168,0.0706,0.0985,0.1128,0.0143,0.0927,0.1996,0.1069,0.1051,0.3005,0.1954,0.0729
s016,7,38,0.0993,0.2742,0.1749,0.0821,0.1742,0.0921,0.0771,0.1304,0.0533,0.089,0.2529,0.1639,0.0673,0.6793,0.612,0.1133,0.2004,0.0871,0.0945,0.1542,0.0597,0.0905,0.0784,-0.0121,0.0979,0.18,0.0821,0.1027,0.2192,0.1165,0.0713
s016,7,39,0.113,0.3504,0.2374,0.0797,0.1652,0.0855,0.0755,0.1402,0.0647,0.1088,0.8725,0.7637,0.0726,0.6923,0.6197,0.132,0.2109,0.0789,0.0916,0.1769,0.0853,0.1096,0.1054,-0.0042,0.0861,0.1835,0.0974,0.0995,0.2509,0.1514,0.07
s016,7,40,0.0876,0.5443,0.4567,0.0655,0.1869,0.1214,0.0839,0.1174,0.0335,0.0995,0.251,0.1515,0.0774,0.5882,0.5108,0.1101,0.1463,0.0362,0.1006,0.1677,0.0671,0.1238,0.1281,0.0043,0.0964,0.1729,0.0765,0.1072,0.2293,0.1221,0.0829
s016,7,41,0.0932,0.2599,0.1667,0.0768,0.179,0.1022,0.0905,0.1486,0.0581,0.1225,0.3874,0.2649,0.0713,0.5588,0.4875,0.1218,0.1699,0.0481,0.0964,0.1794,0.083,0.0998,0.1202,0.0204,0.1059,0.175,0.0691,0.0895,0.3348,0.2453,0.0784
s016,7,42,0.0813,0.4037,0.3224,0.0747,0.17,0.0953,0.0734,0.0945,0.0211,0.0916,0.2908,0.1992,0.0774,0.9459,0.8685,0.0945,0.2719,0.1774,0.0797,0.1679,0.0882,0.1193,0.1592,0.0399,0.0861,0.1742,0.0881,0.123,0.5807,0.4577,0.0974
s016,7,43,0.1138,0.2196,0.1058,0.0771,0.1637,0.0866,0.0803,0.1334,0.0531,0.1072,0.2961,0.1889,0.07,0.6097,0.5397,0.1175,0.1664,0.0489,0.1027,0.1424,0.0397,0.1014,0.0974,-0.004,0.0983,0.1619,0.0636,0.0919,0.2327,0.1408,0.0758
s016,7,44,0.1022,0.2671,0.1649,0.0855,0.1599,0.0744,0.0866,0.1236,0.037,0.1183,0.4416,0.3233,0.0816,0.8467,0.7651,0.1156,0.1879,0.0723,0.0934,0.1516,0.0582,0.1124,0.1468,0.0344,0.1077,0.1494,0.0417,0.1006,0.2258,0.1252,0.0776
s016,7,45,0.0832,0.2296,0.1464,0.0681,0.2658,0.1977,0.0892,0.1578,0.0686,0.108,0.2531,0.1451,0.0694,0.6822,0.6128,0.0972,0.1653,0.0681,0.0795,0.1601,0.0806,0.1011,0.1049,0.0038,0.0887,0.1863,0.0976,0.095,0.2538,0.1588,0.0913
s016,7,46,0.0919,0.3528,0.2609,0.0824,0.2825,0.2001,0.0684,0.2154,0.147,0.1103,0.6006,0.4903,0.0818,0.6427,0.5609,0.1336,0.2416,0.108,0.094,0.188,0.094,0.1235,0.1415,0.018,0.0874,0.2085,0.1211,0.0921,0.6955,0.6034,0.0884
s016,7,47,0.0855,0.9164,0.8309,0.0713,0.145,0.0737,0.0713,0.1349,0.0636,0.1124,0.5639,0.4515,0.0723,0.8767,0.8044,0.1043,0.184,0.0797,0.0874,0.14,0.0526,0.1161,0.1534,0.0373,0.0779,0.2006,0.1227,0.0876,0.6796,0.592,0.1114
s016,7,48,0.0937,0.2509,0.1572,0.0715,0.1375,0.066,0.0723,0.133,0.0607,0.1143,0.7075,0.5932,0.0737,0.562,0.4883,0.1101,0.1629,0.0528,0.0898,0.1414,0.0516,0.1132,0.1507,0.0375,0.0932,0.2956,0.2024,0.08,0.2723,0.1923,0.0803
s016,7,49,0.0969,0.3206,0.2237,0.0742,0.1566,0.0824,0.0937,0.1125,0.0188,0.1056,0.5339,0.4283,0.0845,0.7308,0.6463,0.1025,0.1704,0.0679,0.0837,0.1448,0.0611,0.1093,0.1358,0.0265,0.0913,0.2238,0.1325,0.0834,0.2313,0.1479,0.0853
s016,7,50,0.1003,0.2633,0.163,0.0774,0.1719,0.0945,0.0774,0.1331,0.0557,0.1074,0.3423,0.2349,0.0697,0.7192,0.6495,0.118,0.1608,0.0428,0.0887,0.1553,0.0666,0.1124,0.1236,0.0112,0.0932,0.1721,0.0789,0.0964,0.2557,0.1593,0.0729
s016,8,1,0.1035,0.5716,0.4681,0.0813,0.1877,0.1064,0.0995,0.1769,0.0774,0.1114,0.6159,0.5045,0.0676,1.0836,1.016,0.1256,0.202,0.0764,0.1212,0.4345,0.3133,0.1167,0.2756,0.1589,0.108,0.2898,0.1818,0.114,0.3596,0.2456,0.1022
s016,8,2,0.1214,0.3488,0.2274,0.0768,0.1858,0.109,0.1188,0.1885,0.0697,0.1161,0.466,0.3499,0.0758,0.7654,0.6896,0.1117,0.4321,0.3204,0.1111,0.2862,0.1751,0.1354,0.2154,0.08,0.0869,0.5687,0.4818,0.1085,0.3541,0.2456,0.1037
s016,8,3,0.0855,0.6549,0.5694,0.0726,0.1798,0.1072,0.0842,0.2043,0.1201,0.1059,0.4611,0.3552,0.0721,0.7902,0.7181,0.1223,0.1743,0.052,0.1098,0.1951,0.0853,0.0969,0.1545,0.0576,0.1064,0.2025,0.0961,0.1193,0.2931,0.1738,0.0839
s016,8,4,0.095,0.353,0.258,0.0475,0.1673,0.1198,0.1029,0.1892,0.0863,0.0895,0.6782,0.5887,0.0834,0.6379,0.5545,0.0913,0.1565,0.0652,0.0863,0.2336,0.1473,0.1499,0.4495,0.2996,0.0995,0.2138,0.1143,0.109,0.2957,0.1867,0.0845
s016,8,5,0.1169,0.2778,0.1609,0.0636,0.1499,0.0863,0.0905,0.2053,0.1148,0.1175,0.3241,0.2066,0.0713,0.6923,0.621,0.0864,0.2382,0.1518,0.1169,0.2851,0.1682,0.1312,0.6374,0.5062,0.119,0.2404,0.1214,0.1032,0.3683,0.2651,0.0876
s016,8,6,0.104,0.3388,0.2348,0.0747,0.1906,0.1159,0.0795,0.2495,0.17,0.1098,0.6687,0.5589,0.0681,1.005,0.9369,0.0816,0.1782,0.0966,0.1022,0.2796,0.1774,0.1304,0.2402,0.1098,0.0898,0.3278,0.238,0.0834,0.3963,0.3129,0.0679
s016,8,7,0.0824,0.385,0.3026,0.0204,0.1189,0.0985,0.0708,0.2284,0.1576,0.1193,0.5457,0.4264,0.0776,0.8712,0.7936,0.0898,0.2136,0.1238,0.0958,0.2197,0.1239,0.1082,0.2642,0.156,0.028,0.3795,0.3515,0.1085,0.4095,0.301,0.0961
s016,8,8,0.1066,0.4823,0.3757,0.0652,0.2592,0.194,0.0781,0.2811,0.203,0.0929,1.0336,0.9407,0.0789,1.006,0.9271,0.05,0.287,0.237,0.0882,0.2654,0.1772,0.1156,0.3104,0.1948,0.0858,0.3199,0.2341,0.1053,0.4031,0.2978,0.09
s016,8,9,0.0747,0.376,0.3013,0.0515,0.2613,0.2098,0.0832,0.2785,0.1953,0.1022,0.4049,0.3027,0.0544,0.6192,0.5648,0.103,0.211,0.108,0.1027,0.1746,0.0719,0.1249,0.1374,0.0125,0.0937,0.1671,0.0734,0.1156,0.2749,0.1593,0.0774
s016,8,10,0.1138,0.2407,0.1269,0.0752,0.1681,0.0929,0.0792,0.1502,0.071,0.0916,0.2951,0.2035,0.0642,0.6034,0.5392,0.1106,0.1381,0.0275,0.1132,0.2123,0.0991,0.1151,0.1418,0.0267,0.1082,0.162,0.0538,0.1032,0.2255,0.1223,0.0705
s016,8,11,0.1016,0.3124,0.2108,0.0694,0.1349,0.0655,0.0855,0.1209,0.0354,0.0826,0.3196,0.237,0.0657,0.6348,0.5691,0.1233,0.2144,0.0911,0.0895,0.2485,0.159,0.0971,0.3993,0.3022,0.1074,0.1781,0.0707,0.0919,0.2649,0.173,0.0639
s016,8,12,0.0821,0.2921,0.21,0.0636,0.1489,0.0853,0.0832,0.1402,0.057,0.1219,0.2649,0.143,0.0821,0.7308,0.6487,0.1167,0.1658,0.0491,0.0845,0.1321,0.0476,0.1095,0.1122,0.0027,0.0898,0.2041,0.1143,0.0945,0.8639,0.7694,0.1531
s016,8,13,0.1035,0.2921,0.1886,0.0618,0.1405,0.0787,0.0726,0.1188,0.0462,0.1154,0.6458,0.5304,0.0647,0.8135,0.7488,0.0978,0.3147,0.2169,0.0948,0.2342,0.1394,0.1135,0.1603,0.0468,0.0964,0.1721,0.0757,0.1016,0.2443,0.1427,0.0792
s016,8,14,0.1114,0.3821,0.2707,0.0734,0.18,0.1066,0.0829,0.1442,0.0613,0.0892,0.2797,0.1905,0.0758,0.8435,0.7677,0.1048,0.189,0.0842,0.099,0.1595,0.0605,0.1056,0.1236,0.018,0.0847,0.1974,0.1127,0.0921,0.2567,0.1646,0.0803
s016,8,15,0.0985,0.3584,0.2599,0.071,0.1605,0.0895,0.0937,0.1608,0.0671,0.0995,0.4349,0.3354,0.0663,0.6559,0.5896,0.0961,0.1357,0.0396,0.0985,0.1891,0.0906,0.1251,0.1106,-0.0145,0.1032,0.2066,0.1034,0.1109,0.2623,0.1514,0.0655
s016,8,16,0.0853,0.4011,0.3158,0.0742,0.1859,0.1117,0.0673,0.1185,0.0512,0.1022,0.3028,0.2006,0.075,0.9979,0.9229,0.1077,0.2223,0.1146,0.0879,0.1859,0.098,0.1193,0.1516,0.0323,0.1056,0.1618,0.0562,0.1185,0.2728,0.1543,0.0861
s016,8,17,0.1122,0.3301,0.2179,0.0766,0.1576,0.081,0.0898,0.1336,0.0438,0.0866,0.2951,0.2085,0.066,0.7026,0.6366,0.113,0.1695,0.0565,0.0932,0.1432,0.05,0.1154,0.1321,0.0167,0.1119,0.1942,0.0823,0.1259,0.2757,0.1498,0.0934
s016,8,18,0.0879,0.4008,0.3129,0.0681,0.1687,0.1006,0.061,0.1183,0.0573,0.1035,0.3434,0.2399,0.0763,0.8306,0.7543,0.109,0.2059,0.0969,0.0927,0.2197,0.127,0.0987,0.1333,0.0346,0.0977,0.1864,0.0887,0.1098,0.253,0.1432,0.0805
s016,8,19,0.0905,0.406,0.3155,0.0679,0.2007,0.1328,0.0969,0.108,0.0111,0.1022,0.7157,0.6135,0.081,0.6901,0.6091,0.108,0.1978,0.0898,0.0766,0.1704,0.0938,0.1011,0.1228,0.0217,0.1077,0.1863,0.0786,0.0924,0.2427,0.1503,0.0507
s016,8,20,0.0982,0.3127,0.2145,0.0702,0.1555,0.0853,0.0652,0.1141,0.0489,0.0869,0.3273,0.2404,0.0729,0.6337,0.5608,0.0916,0.127,0.0354,0.0945,0.1719,0.0774,0.1148,0.1684,0.0536,0.1003,0.2198,0.1195,0.094,0.2543,0.1603,0.08
s016,8,21,0.104,0.4269,0.3229,0.0549,0.2185,0.1636,0.0409,0.0779,0.037,0.1072,0.4671,0.3599,0.0752,0.612,0.5368,0.1165,0.1545,0.038,0.0919,0.1714,0.0795,0.1082,0.0871,-0.0211,0.1291,0.1808,0.0517,0.1146,0.5874,0.4728,0.0942
s016,8,22,0.0974,0.4958,0.3984,0.0684,0.1671,0.0987,0.0768,0.1114,0.0346,0.0921,0.4185,0.3264,0.0547,0.8322,0.7775,0.1413,0.2337,0.0924,0.0998,0.1561,0.0563,0.1161,0.1201,0.004,0.1061,0.1673,0.0612,0.1093,0.244,0.1347,0.0884
s016,8,23,0.0898,0.3082,0.2184,0.065,0.1455,0.0805,0.0615,0.1143,0.0528,0.0982,0.4922,0.394,0.0671,0.6295,0.5624,0.1152,0.1714,0.0562,0.0898,0.1688,0.079,0.1227,0.1312,0.0085,0.108,0.1679,0.0599,0.1003,0.2414,0.1411,0.0774
s016,8,24,0.0953,0.3095,0.2142,0.0771,0.1742,0.0971,0.0779,0.1566,0.0787,0.1652,0.8568,0.6916,0.0726,0.5791,0.5065,0.1228,0.1896,0.0668,0.104,0.1724,0.0684,0.1127,0.146,0.0333,0.1264,0.1863,0.0599,0.1262,0.2438,0.1176,0.1045
s016,8,25,0.0969,0.2691,0.1722,0.0734,0.2009,0.1275,0.0929,0.1766,0.0837,0.1016,0.4243,0.3227,0.0665,0.5906,0.5241,0.1254,0.1423,0.0169,0.1022,0.2108,0.1086,0.1104,0.0903,-0.0201,0.1065,0.1772,0.0707,0.1146,0.2866,0.172,0.0879
s016,8,26,0.0866,0.3874,0.3008,0.0713,0.1938,0.1225,0.0552,0.088,0.0328,0.1006,0.8305,0.7299,0.056,0.7301,0.6741,0.1043,0.6316,0.5273,0.0847,0.1869,0.1022,0.1333,0.1619,0.0286,0.1016,0.1932,0.0916,0.1117,0.2259,0.1142,0.0927
s016,8,27,0.1254,0.3436,0.2182,0.0597,0.1521,0.0924,0.0671,0.1381,0.071,0.0913,0.5122,0.4209,0.0747,0.5403,0.4656,0.108,0.2001,0.0921,0.094,0.178,0.084,0.1127,0.165,0.0523,0.0995,0.1924,0.0929,0.0855,0.264,0.1785,0.0924
s016,8,28,0.0869,0.7734,0.6865,0.076,0.1615,0.0855,0.0964,0.1424,0.046,0.1106,0.5215,0.4109,0.0869,0.7238,0.6369,0.1056,0.2241,0.1185,0.1011,0.1564,0.0553,0.1365,0.1801,0.0436,0.0993,0.1832,0.0839,0.123,0.3393,0.2163,0.0958
s016,8,29,0.1029,0.3274,0.2245,0.0684,0.1695,0.1011,0.0795,0.1371,0.0576,0.0956,0.5104,0.4148,0.0684,0.7271,0.6587,0.0924,0.165,0.0726,0.0911,0.1749,0.0838,0.1138,0.1928,0.079,0.0863,0.2014,0.1151,0.0916,0.2654,0.1738,0.0808
s016,8,30,0.0863,0.2432,0.1569,0.0589,0.1648,0.1059,0.0729,0.1276,0.0547,0.1014,0.4938,0.3924,0.07,0.5961,0.5261,0.0916,0.1856,0.094,0.0876,0.1178,0.0302,0.1243,0.1328,0.0085,0.1175,0.1515,0.034,0.1098,0.2393,0.1295,0.0787
s016,8,31,0.0866,0.3549,0.2683,0.0776,0.1697,0.0921,0.0977,0.1442,0.0465,0.0977,0.5516,0.4539,0.0977,0.5371,0.4394,0.1471,0.5013,0.3542,0.1022,0.1648,0.0626,0.133,0.16,0.027,0.1008,0.1673,0.0665,0.108,0.2375,0.1295,0.09
s016,8,32,0.1027,0.2499,0.1472,0.07,0.1468,0.0768,0.0808,0.1336,0.0528,0.2093,0.8239,0.6146,0.0784,0.6392,0.5608,0.1059,0.1798,0.0739,0.1051,0.1511,0.046,0.1188,0.1175,-0.0013,0.1235,0.1823,0.0588,0.1132,0.2311,0.1179,0.0927
s016,8,33,0.1072,0.3296,0.2224,0.0729,0.1576,0.0847,0.0679,0.1146,0.0467,0.1138,0.4294,0.3156,0.0789,0.5627,0.4838,0.1043,0.1983,0.094,0.0879,0.1503,0.0624,0.1291,0.113,-0.0161,0.1025,0.1611,0.0586,0.1095,0.23,0.1205,0.0808
s016,8,34,0.1212,0.2842,0.163,0.0705,0.1571,0.0866,0.0911,0.1875,0.0964,0.1037,0.5607,0.457,0.0636,0.6754,0.6118,0.1241,0.1674,0.0433,0.0784,0.168,0.0896,0.1127,0.1262,0.0135,0.1056,0.2225,0.1169,0.0924,0.3269,0.2345,0.0116
s016,8,35,0.1103,0.2794,0.1691,0.0776,0.1943,0.1167,0.0763,0.1281,0.0518,0.1106,0.289,0.1784,0.0781,0.6986,0.6205,0.1265,0.1909,0.0644,0.0934,0.1637,0.0703,0.1312,0.1323,0.0011,0.095,0.1895,0.0945,0.1045,0.2451,0.1406,0.0826
s016,8,36,0.0979,0.3121,0.2142,0.0634,0.1479,0.0845,0.0924,0.2465,0.1541,0.1045,0.6172,0.5127,0.0713,1.7689,1.6976,0.0951,0.2722,0.1771,0.1032,0.1722,0.069,0.1249,0.1529,0.028,0.1074,0.1736,0.0662,0.1103,0.264,0.1537,0.0826
s016,8,37,0.1175,0.2776,0.1601,0.0942,0.1789,0.0847,0.0948,0.1503,0.0555,0.0998,0.6091,0.5093,0.0758,0.9715,0.8957,0.0663,0.1534,0.0871,0.0887,0.6168,0.5281,0.0876,0.2497,0.1621,0.1008,0.186,0.0852,0.0855,0.239,0.1535,0.0747
s016,8,38,0.1077,0.4122,0.3045,0.066,0.1719,0.1059,0.0834,0.2489,0.1655,0.109,0.4534,0.3444,0.0697,0.6322,0.5625,0.0956,0.3571,0.2615,0.0861,0.7694,0.6833,0.1341,0.1914,0.0573,0.0982,0.2048,0.1066,0.1109,0.5481,0.4372,0.0977
s016,8,39,0.1082,0.3686,0.2604,0.0684,0.1494,0.081,0.0945,0.1536,0.0591,0.1169,0.4615,0.3446,0.0839,0.6677,0.5838,0.098,0.1719,0.0739,0.104,0.1761,0.0721,0.1404,0.189,0.0486,0.1066,0.1995,0.0929,0.1135,0.2519,0.1384,0.1003
s016,8,40,0.1056,0.3533,0.2477,0.0869,0.2147,0.1278,0.0781,0.1343,0.0562,0.1011,0.4737,0.3726,0.0808,0.6926,0.6118,0.0879,0.4305,0.3426,0.1043,0.2316,0.1273,0.1391,0.1867,0.0476,0.0911,0.2159,0.1248,0.1016,0.2519,0.1503,0.0847
s016,8,41,0.1069,0.3,0.1931,0.0842,0.2125,0.1283,0.075,0.3228,0.2478,0.0985,0.3521,0.2536,0.0734,0.7266,0.6532,0.1193,0.2531,0.1338,0.1127,0.2279,0.1152,0.1249,0.1822,0.0573,0.1006,0.2178,0.1172,0.1022,0.6365,0.5343,0.1441
s016,8,42,0.1164,0.3844,0.268,0.0734,0.1819,0.1085,0.0834,0.165,0.0816,0.1267,0.3109,0.1842,0.0692,0.6623,0.5931,0.0967,0.2229,0.1262,0.085,0.183,0.098,0.1325,0.1782,0.0457,0.0929,0.2301,0.1372,0.0982,0.2826,0.1844,0.1032
s016,8,43,0.0882,0.3357,0.2475,0.08,0.203,0.123,0.0874,0.2415,0.1541,0.1003,0.322,0.2217,0.0895,0.7487,0.6592,0.1154,0.2344,0.119,0.0958,0.2178,0.122,0.1225,0.2144,0.0919,0.0974,0.2512,0.1538,0.0982,0.2818,0.1836,0.099
s016,8,44,0.1154,0.3425,0.2271,0.0789,0.2264,0.1475,0.0942,0.2924,0.1982,0.119,0.7106,0.5916,0.0837,0.7617,0.678,0.1156,0.1787,0.0631,0.1117,0.187,0.0753,0.1357,0.1867,0.051,0.0869,0.2463,0.1594,0.0956,0.2573,0.1617,0.1161
s016,8,45,0.1003,0.2976,0.1973,0.0842,0.2072,0.123,0.0982,0.2352,0.137,0.1161,0.276,0.1599,0.081,0.65,0.569,0.117,0.1957,0.0787,0.1006,0.226,0.1254,0.1259,0.2413,0.1154,0.0884,0.2267,0.1383,0.0905,0.2585,0.168,0.1098
s016,8,46,0.1098,0.3417,0.2319,0.0639,0.1935,0.1296,0.0821,0.2014,0.1193,0.1122,0.9086,0.7964,0.0993,0.8895,0.7902,0.0811,0.2305,0.1494,0.1074,0.2497,0.1423,0.1325,0.1698,0.0373,0.0961,0.2331,0.137,0.1035,0.3844,0.2809,0.0241
s016,8,47,0.1212,0.318,0.1968,0.0853,0.2117,0.1264,0.0879,0.1463,0.0584,0.1317,0.332,0.2003,0.1029,0.9313,0.8284,0.1122,0.6078,0.4956,0.1014,0.4269,0.3255,0.1346,0.2687,0.1341,0.1082,0.2296,0.1214,0.1048,0.2625,0.1577,0.0985
s016,8,48,0.1106,0.5438,0.4332,0.0845,0.175,0.0905,0.0934,0.1425,0.0491,0.114,0.5059,0.3919,0.0987,0.8891,0.7904,0.108,0.2371,0.1291,0.1146,0.2722,0.1576,0.1409,0.203,0.0621,0.1095,0.2248,0.1153,0.1209,0.2805,0.1596,0.1014
s016,8,49,0.1132,0.3071,0.1939,0.0964,0.2743,0.1779,0.0613,0.3651,0.3038,0.1024,0.5217,0.4193,0.0818,0.7165,0.6347,0.1212,0.1788,0.0576,0.1177,0.2247,0.107,0.1106,0.17,0.0594,0.1022,0.2479,0.1457,0.109,0.2804,0.1714,0.1124
s016,8,50,0.1275,0.6412,0.5137,0.0824,0.2255,0.1431,0.1006,0.1962,0.0956,0.1082,0.4167,0.3085,0.0929,0.9551,0.8622,0.1315,0.2975,0.166,0.1122,0.3041,0.1919,0.1441,0.3497,0.2056,0.1098,0.227,0.1172,0.0879,0.2738,0.1859,0.1037
s017,6,1,0.0718,0.2008,0.129,0.0613,0.1252,0.0639,0.0541,0.0689,0.0148,0.0634,0.2056,0.1422,0.0436,0.3194,0.2758,0.0436,0.1556,0.112,0.0795,0.126,0.0465,0.0628,0.074,0.0112,0.0594,0.1657,0.1063,0.0734,0.1931,0.1197,0.0602
s017,6,2,0.075,0.2362,0.1612,0.0518,0.1231,0.0713,0.0552,0.1154,0.0602,0.0636,0.2116,0.148,0.0491,0.3226,0.2735,0.0512,0.1961,0.1449,0.0774,0.1342,0.0568,0.0652,0.1141,0.0489,0.0552,0.1837,0.1285,0.0734,0.2105,0.1371,0.0576
s017,6,3,0.0742,0.2114,0.1372,0.0496,0.0887,0.0391,0.0631,0.1238,0.0607,0.0631,0.2106,0.1475,0.0576,0.3097,0.2521,0.0504,0.1661,0.1157,0.0652,0.1168,0.0516,0.0702,0.0879,0.0177,0.0679,0.1753,0.1074,0.0692,0.1918,0.1226,0.066
s017,6,4,0.0803,0.1784,0.0981,0.0547,0.1202,0.0655,0.0494,0.0975,0.0481,0.0555,0.2072,0.1517,0.0568,0.3266,0.2698,0.0386,0.1685,0.1299,0.0634,0.1229,0.0595,0.0795,0.0769,-0.0026,0.0578,0.1525,0.0947,0.0721,0.1952,0.1231,0.0705
